t,Xx1,Xx2,Xx3,Xy1,Xy2,Xy3,Xt1,Xt2,Xt3,Zx1,Zx2,Zx3,Zy1,Zy2,Zy3,Zt1,Zt2,Zt3,Rx1,Rx2,Rx3,Ry1,Ry2,Ry3,Rt1,Rt2,Rt3,P11,P12,P13,P14,P15,P16,P17,P18,P19,P21,P22,P23,P24,P25,P26,P27,P28,P29,P31,P32,P33,P34,P35,P36,P37,P38,P39,P41,P42,P43,P44,P45,P46,P47,P48,P49,P51,P52,P53,P54,P55,P56,P57,P58,P59,P61,P62,P63,P64,P65,P66,P67,P68,P69,P71,P72,P73,P74,P75,P76,P77,P78,P79,P81,P82,P83,P84,P85,P86,P87,P88,P89,P91,P92,P93,P94,P95,P96,P97,P98,P99
10,-0.6039226722293591,-0.005359179264556179,-0.043529069495265096,-0.5943200111475818,0.015235028887889602,0.12847741219650155,-2.0304582437704606,1.2326308601754843e-05,0.00042728973110331945,0.0,0.0,-0.044704274285115975,0.0,0.0,0.13232130350134133,-2.030501670351149,0.0,0.0,0.0,0.0,0.0011752047898508783,0.0,0.0,0.0038438913048397805,4.342658068834382e-05,1.2326308601754843e-05,0.0,12.093546084942751,0.06681568035715257,0.0004508496186418974,0.0,0.0,0.0,0.0,0.0,0.0,0.06681568035715259,1.33562298355394,0.01458980436568593,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508496186418976,0.014589804365685933,0.6180339889579021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.093546084942751,0.06681568035715257,0.0004508496186418974,0.0,0.0,0.0,0.0,0.0,0.0,0.06681568035715259,1.33562298355394,0.01458980436568593,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508496186418976,0.014589804365685933,0.6180339889579021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618291537622416,0.002771881418376353,0.005277124407087666,0.0,0.0,0.0,0.0,0.0,0.0,0.0027718814183763513,0.5401179278199532,0.3016155865518243,0.0,0.0,0.0,0.0,0.0,0.0,0.005277124407087667,0.3016155865518243,11.150941898423026
11,-0.6042084987078195,-0.0054342480782841865,-0.06802222480525144,-0.5935051828719371,0.015758987489662212,0.20123621801011143,-2.0304849355613808,1.2516804029442954e-05,0.0004180827065453362,0.0,0.0,-0.08315982727660694,0.0,0.0,0.24620363297799497,-2.030501670351149,0.0,0.0,0.0,0.0,0.015137602471355496,0.0,0.0,0.044967414967883534,1.673478976815801e-05,1.2516804029442954e-05,0.0,13.103566178281492,0.06684021083290798,0.00045084969939447714,0.0,0.0,0.0,0.0,0.0,0.0,0.06684021083290799,1.335623040164443,0.014589803567043098,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084969939447714,0.014589803567043097,0.6180339887802426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.103566178281492,0.06684021083290798,0.00045084969939447714,0.0,0.0,0.0,0.0,0.0,0.0,0.06684021083290799,1.335623040164443,0.014589803567043098,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084969939447714,0.014589803567043097,0.6180339887802426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618291887365781,0.0027877791815398823,0.005796040001295612,0.0,0.0,0.0,0.0,0.0,0.0,0.002787779181539882,0.5408402062335755,0.32519133103779085,0.0,0.0,0.0,0.0,0.0,0.0,0.005796040001295612,0.32519133103779085,11.920473034258709
12,-0.6044760424891357,-0.005983335816947418,-0.062307791888763474,-0.592729500210695,0.017544345461957545,0.18442075720186102,-2.030495119799867,1.2404517922013303e-05,0.0004085279232469677,0.0,0.0,-0.058776078120008964,0.0,0.0,0.1740282308860654,-2.030501670351149,0.0,0.0,0.0,0.0,0.0035317137687545103,0.0,0.0,0.010392526315795625,6.550551281847561e-06,1.2404517922013303e-05,0.0,14.113588724809295,0.06685247748767659,0.00045084971501709167,0.0,0.0,0.0,0.0,0.0,0.0,0.06685247748767659,1.3356230542885659,0.014589803412112957,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971501709156,0.014589803412112957,0.6180339887543225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.113588724809295,0.06685247748767659,0.00045084971501709167,0.0,0.0,0.0,0.0,0.0,0.0,0.06685247748767659,1.3356230542885659,0.014589803412112957,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971501709156,0.014589803412112957,0.6180339887543225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182922220567109,0.0028029858367269148,0.006292397366939486,0.0,0.0,0.0,0.0,0.0,0.0,0.002802985836726915,0.5415310666620082,0.3477415676280842,0.0,0.0,0.0,0.0,0.0,0.0,0.006292397366939487,0.3477415676280842,12.656530781010964
13,-0.6047861937804172,-0.006462523404689058,-0.0773655691175221,-0.591819726347917,0.019046763966471224,0.22904999434122336,-2.0304990082379417,1.2170662846794322e-05,0.00039864684466584476,0.0,0.0,-0.08667178723989367,0.0,0.0,0.25663237978525294,-2.030501670351149,0.0,0.0,0.0,0.0,0.009306218122371576,0.0,0.0,0.027582385444029578,2.6621132072079945e-06,1.2170662846794322e-05,0.0,15.123612498037879,0.0668586111684782,0.0004508497180299607,0.0,0.0,0.0,0.0,0.0,0.0,0.06685861116847822,1.335623057814078,0.01458980338217335,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971802996065,0.01458980338217335,0.6180339887505408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.123612498037879,0.0668586111684782,0.0004508497180299607,0.0,0.0,0.0,0.0,0.0,0.0,0.06685861116847822,1.335623057814078,0.01458980338217335,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971802996065,0.01458980338217335,0.6180339887505408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182925412747158,0.0028174883861986806,0.00676577217349872,0.0,0.0,0.0,0.0,0.0,0.0,0.0028174883861986797,0.5421899314201305,0.3692474400559228,0.0,0.0,0.0,0.0,0.0,0.0,0.006765772173498719,0.36924744005592286,13.358499649705147
14,-0.6051126604294612,-0.007207640323316754,-0.0819447655943531,-0.590857483482615,0.02129640345679231,0.24262751382777498,-2.030500495585368,1.188559049570561e-05,0.0003884841627496334,0.0,0.0,-0.0847748646581973,0.0,0.0,0.25101888235337455,-2.030501670351149,0.0,0.0,0.0,0.0,0.0028300990638441964,0.0,0.0,0.008391368525599574,1.174765781097875e-06,1.188559049570561e-05,0.0,16.133636884643355,0.0668616780970773,0.00045084971860962983,0.0,0.0,0.0,0.0,0.0,0.0,0.0668616780970773,1.3356230586943911,0.014589803376404243,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971860962983,0.014589803376404245,0.6180339887499889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.133636884643355,0.0668616780970773,0.00045084971860962983,0.0,0.0,0.0,0.0,0.0,0.0,0.0668616780970773,1.3356230586943911,0.014589803376404243,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971860962983,0.014589803376404245,0.6180339887499889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182928448600282,0.00283128052483765,0.007215958605093279,0.0,0.0,0.0,0.0,0.0,0.0,0.0028312805248376493,0.5428165188796191,0.3896997556863732,0.0,0.0,0.0,0.0,0.0,0.0,0.007215958605093276,0.3896997556863733,14.026079583380952
15,-0.6054485529317718,-0.006908561125598489,-0.048374040578760616,-0.589865171571981,0.020433160765325836,0.14323170931130497,-2.030501067247348,1.157726747846663e-05,0.0003780930464028864,0.0,0.0,-0.027626191492149323,0.0,0.0,0.08180172378098977,-2.030501670351149,0.0,0.0,0.0,0.0,0.020747849086611293,0.0,0.0,0.0614299855303152,6.031038011222734e-07,1.157726747846663e-05,0.0,17.143661577943895,0.06686321158339631,0.00045084971872095874,0.0,0.0,0.0,0.0,0.0,0.0,0.06686321158339631,1.3356230589142644,0.014589803375294981,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971872095874,0.014589803375294981,0.6180339887499087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.143661577943895,0.06686321158339631,0.00045084971872095874,0.0,0.0,0.0,0.0,0.0,0.0,0.06686321158339631,1.3356230589142644,0.014589803375294981,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971872095874,0.014589803375294981,0.6180339887499087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182931328036365,0.002844362006180067,0.00764294861490316,0.0,0.0,0.0,0.0,0.0,0.0,0.0028443620061800665,0.5434108196469994,0.4090982078859569,0.0,0.0,0.0,0.0,0.0,0.0,0.00764294861490316,0.4090982078859569,14.659260572525936
16,-0.6057777886338727,-0.005348987003339662,-0.026177231255214484,-0.5888914572217474,0.01582667551254745,0.0775095240277575,-2.0305012897287322,1.1257426860872347e-05,0.0003675283774643118,0.0,0.0,-0.012458848651462533,0.0,0.0,0.036890979707607366,-2.030501670351149,0.0,0.0,0.0,0.0,0.01371838260375195,0.0,0.0,0.040618544320150135,3.806224166957861e-07,1.1257426860872347e-05,0.0,18.153686424593616,0.06686397833205486,0.00045084971874231135,0.0,0.0,0.0,0.0,0.0,0.0,0.06686397833205487,1.3356230589691933,0.01458980337508204,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187423113,0.014589803375082042,0.6180339887498968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.153686424593616,0.06686397833205486,0.00045084971874231135,0.0,0.0,0.0,0.0,0.0,0.0,0.06686397833205487,1.3356230589691933,0.01458980337508204,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187423113,0.014589803375082042,0.6180339887498968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182934052190084,0.0028567380178804226,0.00804691153170373,0.0,0.0,0.0,0.0,0.0,0.0,0.0028567380178804204,0.5439730700741909,0.42745051136171186,0.0,0.0,0.0,0.0,0.0,0.0,0.008046911531703727,0.42745051136171186,15.258294431065712
17,-0.6060715343372295,-0.00483432292925985,-0.06222480847603803,-0.5880222582829351,0.014308583569125916,0.18424867764569752,-2.030501379070368,1.093154203020803e-05,0.0003568436271881851,0.0,0.0,-0.08450343641059342,0.0,0.0,0.2502171025119807,-2.030501670351149,0.0,0.0,0.0,0.0,0.022278627934555394,0.0,0.0,0.06596842486628318,2.9128078082862885e-07,1.093154203020803e-05,0.0,19.16371134791834,0.06686436170775781,0.0004508497187464026,0.0,0.0,0.0,0.0,0.0,0.0,0.06686436170775781,1.335623058982918,0.014589803375041219,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187464026,0.014589803375041215,0.6180339887498951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.16371134791834,0.06686436170775781,0.0004508497187464026,0.0,0.0,0.0,0.0,0.0,0.0,0.06686436170775781,1.335623058982918,0.014589803375041219,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187464026,0.014589803375041215,0.6180339887498951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182936623258127,0.0028684185477823193,0.008428173366592578,0.0,0.0,0.0,0.0,0.0,0.0,0.0028684185477823223,0.5445037241663395,0.4447714852013802,0.0,0.0,0.0,0.0,0.0,0.0,0.00842817336659258,0.4447714852013802,15.823664865768018
18,-0.6063267138663514,-0.005964086103345566,-0.08068068798701794,-0.5872669632527825,0.017656811727549175,0.2388976001452487,-2.03050141764902,1.0602625961419511e-05,0.0003460893847922879,0.0,0.0,-0.09208704881707631,0.0,0.0,0.27267249169853014,-2.030501670351149,0.0,0.0,0.0,0.0,0.011406360830058374,0.0,0.0,0.03377489155328145,2.527021289999709e-07,1.0602625961419511e-05,0.0,20.17373630958067,0.06686455339595246,0.0004508497187471858,0.0,0.0,0.0,0.0,0.0,0.0,0.06686455339595247,1.3356230589863478,0.014589803375033395,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971874718587,0.014589803375033395,0.6180339887498949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.17373630958067,0.06686455339595246,0.0004508497187471858,0.0,0.0,0.0,0.0,0.0,0.0,0.06686455339595247,1.3356230589863478,0.014589803375033395,0.0,0.0,0.0,0.0,0.0,0.0,0.00045084971874718587,0.014589803375033395,0.6180339887498949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182939044354527,0.002879417745551066,0.008787195975927099,0.0,0.0,0.0,0.0,0.0,0.0,0.0028794177455510684,0.5450034248452429,0.4610821148853022,0.0,0.0,0.0,0.0,0.0,0.0,0.0087871959759271,0.46108211488530215,16.356056859450785
19,-0.6065992889898837,-0.006186699711240578,-0.04554768313955524,-0.5864600112868281,0.018317478526960612,0.13486793165374228,-2.03050143686417,1.0272676735957058e-05,0.0003353126522658578,0.0,0.0,-0.023834292016908478,0.0,0.0,0.07057406068760735,-2.030501670351149,0.0,0.0,0.0,0.0,0.021713391122646763,0.0,0.0,0.06429387096613493,2.334869790843186e-07,1.0272676735957058e-05,0.0,21.183761290411827,0.06686464924013555,0.00045084971874733565,0.0,0.0,0.0,0.0,0.0,0.0,0.06686464924013556,1.335623058987205,0.0145898033750319,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187473357,0.014589803375031898,0.6180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.183761290411827,0.06686464924013555,0.00045084971874733565,0.0,0.0,0.0,0.0,0.0,0.0,0.06686464924013556,1.335623058987205,0.0145898033750319,0.0,0.0,0.0,0.0,0.0,0.0,0.0004508497187473357,0.014589803375031898,0.6180339887498948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.618294131937093,0.002889753292012031,0.009124556475973383,0.0,0.0,0.0,0.0,0.0,0.0,0.002889753292012031,0.5454729753968934,0.4764086203100641,0.0,0.0,0.0,0.0,0.0,0.0,0.009124556475973381,0.47640862031006415,16.856326250487697
